time,Mean,S.D.,,,,
0.00,420.30,37.10,,,,
4.00,411.10,18.72,,,,
8.00,415.80,22.59,,,,
12.00,438.70,29.13,,,,
16.00,470.10,25.40,,,,
20.00,511.00,23.32,,,,
24.00,540.50,26.89,,,,
28.00,568.90,32.08,,,,
32.00,601.40,34.76,,,,
36.00,627.90,36.99,,,,
40.00,647.00,37.89,,,,
44.00,676.00,44.64,,,,
48.00,705.00,46.64,,,,
52.00,733.60,45.13,,,,
56.00,760.80,51.69,,,,
60.00,792.90,48.61,,,,
64.00,820.80,52.65,,,,
68.00,828.90,42.95,,,,
72.00,906.90,45.68,,,,
76.00,952.20,38.22,,,,
80.00,949.60,56.46,,,,
84.00,1051.80,64.33,,,,
88.00,1103.50,62.12,,,,
92.00,1161.30,62.62,,,,
96.00,1223.40,67.39,,,,
100.00,1296.10,63.50,,,,
104.00,1350.40,68.34,,,,
108.00,1416.90,66.63,,,,
112.00,1475.90,77.28,,,,
116.00,1547.60,76.78,,,,
120.00,1622.20,81.13,,,,
124.00,1744.10,76.84,,,,
128.00,1815.70,81.59,,,,
132.00,1909.10,86.20,,,,
136.00,1991.00,91.49,,,,
140.00,2082.20,92.37,,,,
144.00,2157.00,96.56,,,,
148.00,2204.30,141.07,,,,
152.00,2396.00,121.56,,,,
156.00,2502.70,127.16,,,,
160.00,2623.80,155.92,,,,
164.00,2762.50,156.22,,,,
168.00,2899.10,149.71,,,,
172.00,2983.60,177.78,,,,
176.00,3227.00,178.78,,,,
180.00,3379.00,203.58,,,,
184.00,3548.20,184.23,,,,
188.00,3741.20,227.38,,,,
192.00,3946.40,235.58,,,,
196.00,4081.80,275.15,,,,
200.00,4360.20,239.21,,,,
204.00,4600.30,255.90,,,,
208.00,4833.30,259.48,,,,
212.00,5021.90,265.01,,,,
216.00,5275.00,301.67,,,,
220.00,5553.00,304.01,,,,
224.00,5787.40,306.01,,,,
228.00,6042.00,335.15,,,,
232.00,6302.00,338.31,,,,
236.00,6571.30,355.22,,,,