time,logMean,logSD,
0.00,6.04,3.61,
4.00,6.02,2.93,
8.00,6.03,3.12,
12.00,6.08,3.37,
16.00,6.15,3.23,
20.00,6.24,3.15,
24.00,6.29,3.29,
28.00,6.34,3.47,
32.00,6.40,3.55,
36.00,6.44,3.61,
40.00,6.47,3.63,
44.00,6.52,3.80,
48.00,6.56,3.84,
52.00,6.60,3.81,
56.00,6.63,3.95,
60.00,6.68,3.88,
64.00,6.71,3.96,
68.00,6.72,3.76,
72.00,6.81,3.82,
76.00,6.86,3.64,
80.00,6.86,4.03,
84.00,6.96,4.16,
88.00,7.01,4.13,
92.00,7.06,4.14,
96.00,7.11,4.21,
100.00,7.17,4.15,
104.00,7.21,4.22,
108.00,7.26,4.20,
112.00,7.30,4.35,
116.00,7.34,4.34,
120.00,7.39,4.40,
124.00,7.46,4.34,
128.00,7.50,4.40,
132.00,7.55,4.46,
136.00,7.60,4.52,
140.00,7.64,4.53,
144.00,7.68,4.57,
148.00,7.70,4.95,
152.00,7.78,4.80,
156.00,7.83,4.85,
160.00,7.87,5.05,
164.00,7.92,5.05,
168.00,7.97,5.01,
172.00,8.00,5.18,
176.00,8.08,5.19,
180.00,8.13,5.32,
184.00,8.17,5.22,
188.00,8.23,5.43,
192.00,8.28,5.46,
196.00,8.31,5.62,
200.00,8.38,5.48,
204.00,8.43,5.54,
208.00,8.48,5.56,
212.00,8.52,5.58,
216.00,8.57,5.71,
220.00,8.62,5.72,
224.00,8.66,5.72,
228.00,8.71,5.81,
232.00,8.75,5.82,
236.00,8.79,5.87,