time,logMean,logSD
1.39,6.02,2.93
2.08,6.03,3.12
2.48,6.08,3.37
2.77,6.15,3.23
3.00,6.24,3.15
3.18,6.29,3.29
3.33,6.34,3.47
3.47,6.40,3.55
3.58,6.44,3.61
3.69,6.47,3.63
3.78,6.52,3.80
3.87,6.56,3.84
3.95,6.60,3.81
4.03,6.63,3.95
4.09,6.68,3.88
4.16,6.71,3.96
4.22,6.72,3.76
4.28,6.81,3.82
4.33,6.86,3.64
4.38,6.86,4.03
4.43,6.96,4.16
4.48,7.01,4.13
4.52,7.06,4.14
4.56,7.11,4.21
4.61,7.17,4.15
4.64,7.21,4.22
4.68,7.26,4.20
4.72,7.30,4.35
4.75,7.34,4.34
4.79,7.39,4.40
4.82,7.46,4.34
4.85,7.50,4.40
4.88,7.55,4.46
4.91,7.60,4.52
4.94,7.64,4.53
4.97,7.68,4.57
5.00,7.70,4.95
5.02,7.78,4.80
5.05,7.83,4.85
5.08,7.87,5.05
5.10,7.92,5.05
5.12,7.97,5.01
5.15,8.00,5.18
5.17,8.08,5.19
5.19,8.13,5.32
5.21,8.17,5.22
5.24,8.23,5.43
5.26,8.28,5.46
5.28,8.31,5.62
5.30,8.38,5.48
5.32,8.43,5.54
5.34,8.48,5.56
5.36,8.52,5.58
5.38,8.57,5.71
5.39,8.62,5.72
5.41,8.66,5.72
5.43,8.71,5.81
5.45,8.75,5.82
5.46,8.79,5.87