count,z,mag,sigma
1.00,0.0104,33.73,0.33
2.00,0.0104,33.21,0.32
3.00,0.0104,33.56,0.31
4.00,0.0132,34.02,0.26
5.00,0.0136,33.73,0.26
6.00,0.0141,34.12,0.25
7.00,0.0141,34.43,0.26
8.00,0.0152,34.11,0.25
9.00,0.0157,34.58,0.24
10.00,0.0161,34.5,0.24
11.00,0.0162,34.13,0.23
12.00,0.0164,34.41,0.24
13.00,0.0165,33.82,0.27
14.00,0.0166,34.54,0.23
15.00,0.0167,34.21,0.23
16.00,0.017,34.47,0.23
17.00,0.017,34.18,0.23
18.00,0.0171,34.68,0.24
19.00,0.0175,34.52,0.25
20.00,0.0178,34.7,0.23
21.00,0.018,34.29,0.23
22.00,0.0186,34.96,0.22
23.00,0.0193,34.59,0.23
24.00,0.0218,35.06,0.21
25.00,0.0219,34.7,0.22
26.00,0.0233,35.14,0.21
27.00,0.0234,35.36,0.2
28.00,0.0244,35.09,0.2
29.00,0.0251,35.09,0.21
30.00,0.0257,35.41,0.2
31.00,0.026,35.62,0.2
32.00,0.0262,35.06,0.24
33.00,0.0265,35.64,0.2
34.00,0.0266,35.36,0.21
35.00,0.0276,35.9,0.2
36.00,0.0286,35.53,0.21
37.00,0.029,35.7,0.19
38.00,0.0297,36.12,0.2
39.00,0.0307,35.9,0.2
40.00,0.0316,35.85,0.19
41.00,0.0327,36.08,0.19
42.00,0.0331,35.54,0.2
43.00,0.0348,36.17,0.19
44.00,0.036,36.17,0.19
45.00,0.036,36.01,0.2
46.00,0.036,36.39,0.18
47.00,0.038,36.67,0.18
48.00,0.04,36.38,0.19
49.00,0.043,36.53,0.19
50.00,0.045,36.97,0.18
51.00,0.046,36.35,0.21
52.00,0.049,36.9,0.2
53.00,0.049,36.52,0.2
54.00,0.05,36.84,0.21
55.00,0.05,37.08,0.19
56.00,0.052,37.16,0.18
57.00,0.053,36.97,0.18
58.00,0.056,37.31,0.18
59.00,0.058,37.13,0.19
60.00,0.061,37.3,0.22
61.00,0.063,37.67,0.19
62.00,0.071,37.78,0.19
63.00,0.075,37.77,0.19
64.00,0.079,37.94,0.18
65.00,0.088,38.07,0.28
66.00,0.101,38.73,0.2
67.00,0.124,39.2,0.22
68.00,0.172,39.79,0.18
69.00,0.18,39.98,0.18
70.00,0.278,41,0.41
71.00,0.3,41.01,0.25
72.00,0.32,41.45,0.18
73.00,0.334,40.92,0.3
74.00,0.34,40.71,0.27
75.00,0.38,42.02,0.22
76.00,0.388,42.07,0.19
77.00,0.397,40.89,0.3
78.00,0.4,42.04,0.19
79.00,0.416,42.1,0.19
80.00,0.42,41.76,0.23
81.00,0.425,41.7,0.4
82.00,0.43,42.33,0.34
83.00,0.43,41.99,0.18
84.00,0.43,42.36,0.25
85.00,0.44,42.57,0.4
86.00,0.44,42.08,0.19
87.00,0.45,42.13,0.21
88.00,0.45,42.1,0.23
89.00,0.455,42.29,0.28
90.00,0.46,41.83,0.4
91.00,0.46,42.56,0.27
92.00,0.47,42.74,0.23
93.00,0.47,42.77,0.21
94.00,0.472,42.46,0.19
95.00,0.475,42.14,0.19
96.00,0.477,42.38,0.21
97.00,0.478,42.48,0.23
98.00,0.48,42.37,0.2
99.00,0.49,42.41,0.25
100.00,0.495,42.25,0.19
101.00,0.5,42.74,0.2
102.00,0.5,42.75,0.19
103.00,0.5,42.75,0.24
104.00,0.508,41.64,0.35
105.00,0.518,42.83,0.3
106.00,0.526,42.56,0.18
107.00,0.526,43.01,0.27
108.00,0.528,42.77,0.25
109.00,0.538,42.66,0.18
110.00,0.54,41.96,0.41
111.00,0.543,42.68,0.19
112.00,0.57,42.81,0.25
113.00,0.57,42.88,0.31
114.00,0.579,42.86,0.19
115.00,0.58,43.04,0.21
116.00,0.581,42.63,0.19
117.00,0.615,42.85,0.23
118.00,0.62,43.11,0.3
119.00,0.63,42.62,0.24
120.00,0.64,43.07,0.21
121.00,0.657,43.27,0.2
122.00,0.67,43.19,0.28
123.00,0.71,43.05,0.32
124.00,0.735,43.09,0.19
125.00,0.74,43.35,0.3
126.00,0.771,43.12,0.17
127.00,0.778,43.81,0.35
128.00,0.798,43.88,0.31
129.00,0.811,43.97,0.35
130.00,0.815,43.76,0.33
131.00,0.815,44.09,0.28
132.00,0.828,43.96,0.46
133.00,0.828,43.61,0.61
134.00,0.83,43.85,0.19
135.00,0.832,43.55,0.29
136.00,0.839,43.86,0.22
137.00,0.86,44.03,0.3
138.00,0.873,43.75,0.38
139.00,0.882,43.9,0.3
140.00,0.884,44.23,0.19
141.00,0.886,42.91,0.81
142.00,0.899,43.64,0.25
143.00,0.94,43.87,0.2
144.00,0.949,43.99,0.25
145.00,0.95,44.06,0.26
146.00,0.954,44.28,0.31
147.00,0.977,43.91,0.26
148.00,1.056,44.25,0.23
149.00,1.14,44.84,0.3
150.00,1.19,44.19,0.34
151.00,1.265,45.2,0.2
152.00,1.3,45.27,0.19
153.00,1.305,44.7,0.22
154.00,1.34,45.05,0.25
155.00,1.551,45.3,0.22
156.00,1.755,45.53,0.35