z,Exp.fact,distance mag,error,D_L,D_L_low,D_L_Hi,Err_D_L,cz
0,1,0,0.01,0,0,0,0.01,0
0.0044,0.9957,31.46,0.04,19.5884,19.2309,19.9526,0.3609,1306.0001
0.0035,0.9965,30.96,0.05,15.5597,15.2055,15.9221,0.3583,1049.9999
0.0044,0.9957,31.46,0.04,19.5884,19.2309,19.9526,0.3609,1306.0001
0.0023,0.9977,30.22,0.04,11.0662,10.8643,11.272,0.2039,689
0.0035,0.9965,31,0.07,15.8489,15.3462,16.3682,0.511,1049.9999
0.0052,0.9948,32.27,0.05,28.4446,27.7971,29.1072,0.655,1552.0001
0.0063,0.9937,32.22,0.05,27.7971,27.1644,28.4446,0.6401,1885.9999
0.0023,0.9977,30.31,0.04,11.5345,11.324,11.749,0.2125,689
0.0035,0.9965,31.32,0.06,18.3654,17.8649,18.8799,0.5075,1046.9999
0.0062,0.9938,32.5,0.07,31.6228,30.6196,32.6588,1.0196,1863.9999
0.0044,0.9957,31.46,0.04,19.5884,19.2309,19.9526,0.3609,1306.0001
0.0066,0.9934,31.82,0.1,23.1206,22.08,24.2103,1.0651,1983
0.0044,0.9957,31.42,0.05,19.2309,18.7932,19.6789,0.4428,1306.0001
0.0057,0.9944,31.68,0.05,21.677,21.1836,22.182,0.4992,1702.0001
0.0015,0.9985,29.08,0.04,6.5464,6.4269,6.6681,0.1206,455
0.0044,0.9957,31.42,0.05,19.2309,18.7932,19.6789,0.4428,1306.0001
0.0035,0.9965,31,0.06,15.8489,15.417,16.293,0.438,1049.9999
0.0043,0.9957,31.36,0.05,18.7068,18.281,19.1426,0.4308,1302