Redshift,exp.fact,distance mag,error,D_L,D_L_low,D_L_Hi,Err_D_L,cz,D_L_kPC,Err_Kpc
0.0000,1.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0010,0.0010,0.0000,1.0000
0.0044,0.9957,31.4600,0.0400,19.5884,19.2309,19.9526,0.3609,1306.0001,19588.4000,360.9000
0.0035,0.9965,30.9600,0.0500,15.5597,15.2055,15.9221,0.3583,1049.9999,15559.7000,358.3000
0.0044,0.9957,31.4600,0.0400,19.5884,19.2309,19.9526,0.3609,1306.0001,19588.4000,360.9000
0.0023,0.9977,30.2200,0.0400,11.0662,10.8643,11.2720,0.2039,689.0000,11066.2000,203.9000
0.0035,0.9965,31.0000,0.0700,15.8489,15.3462,16.3682,0.5110,1049.9999,15848.9000,511.0000
0.0052,0.9948,32.2700,0.0500,28.4446,27.7971,29.1072,0.6550,1552.0001,28444.6000,655.0000
0.0063,0.9937,32.2200,0.0500,27.7971,27.1644,28.4446,0.6401,1885.9999,27797.1000,640.1000
0.0023,0.9977,30.3100,0.0400,11.5345,11.3240,11.7490,0.2125,689.0000,11534.5000,212.5000
0.0035,0.9965,31.3200,0.0600,18.3654,17.8649,18.8799,0.5075,1046.9999,18365.4000,507.5000
0.0062,0.9938,32.5000,0.0700,31.6228,30.6196,32.6588,1.0196,1863.9999,31622.8000,1019.6000
0.0044,0.9957,31.4600,0.0400,19.5884,19.2309,19.9526,0.3609,1306.0001,19588.4000,360.9000
0.0066,0.9934,31.8200,0.1000,23.1206,22.0800,24.2103,1.0651,1983.0000,23120.6000,1065.1000
0.0044,0.9957,31.4200,0.0500,19.2309,18.7932,19.6789,0.4428,1306.0001,19230.9000,442.8000
0.0057,0.9944,31.6800,0.0500,21.6770,21.1836,22.1820,0.4992,1702.0001,21677.0000,499.2000
0.0015,0.9985,29.0800,0.0400,6.5464,6.4269,6.6681,0.1206,455.0000,6546.4000,120.6000
0.0044,0.9957,31.4200,0.0500,19.2309,18.7932,19.6789,0.4428,1306.0001,19230.9000,442.8000
0.0035,0.9965,31.0000,0.0600,15.8489,15.4170,16.2930,0.4380,1049.9999,15848.9000,438.0000
0.0043,0.9957,31.3600,0.0500,18.7068,18.2810,19.1426,0.4308,1302.0000,18706.8000,430.8000